Stkcd,ShortName,Accper,Typrep,IfCorrect,DeclareDate,A001101000,A0d1101101,A0d1102000,A0d1102101,A0b1103000,A0b1104000,A0b1105000,A0f1106000,A001107000,A0f1108000,A001109000,A001110000,A001111000,A001127000,A001112000,A0i1113000,A0i1114000,A0i1115000,A0i1116000,A0i1116101,A0i1116201,A0i1116301,A0i1116401,A001119000,A001120000,A001121000,A0f1122000,A001123000,A001123101,A001128000,A001129000,A001124000,A0d1126000,A001125000,A001100000,A0i1224000,A0i1225000,A0b1201000,A001226000,A0F1132000,A001202000,A001227000,A0F1232000,A001203000,A001204000,A001205000,A001228000,A0F1233000,A0F1133000,A001229000,A001206000,A001207000,A0i1209000,A0i1210000,A001211000,A001212000,A001213000,A001214000,A001215000,A001216000,A001217000,A001230000,A001218000,A0d1218101,A001218201,A001219000,A001219101,A001220000,A001221000,A001222000,A0F1224000,A001223000,A001200000,A0f1300000,A001000000,A002101000,A0d2101101,A0D2130000,A0b2102000,A0b2103000,A0b2103101,A0b2103201,A0f2104000,A002105000,A0f2106000,A002107000,A002108000,A002109000,A002128000,A0f2110000,A0i2111000,A002112000,A002113000,A002114000,A002115000,A0i2116000,A0i2117000,A0i2118000,A0i2119000,A0i2119101,A0i2119201,A0i2119301,A0i2119401,A002120000,A0i2121000,A0d2122000,A0d2123000,A0i2124000,A002129000,A002125000,A002126000,A002127000,A002100000,A002201000,A0d2202000,A002203000,A002211000,A002204000,A002212000,A002205000,A002206000,A002207000,A0F2210000,A002208000,A002209000,A002210000,A002200000,A0f2300000,A002000000,A003101000,A003112000,A003112101,A003112201,A003112301,A003102000,A003102101,A003103000,A0f3104000,A003105000,A003106000,A003107000,A0F3108000,A0F3109000,A003111000,A003100000,A003200000,A003000000,A004000000
000592,平潭发展,2020-01-01,A,1,2021-04-30,365081089.2,,,,,,,,294282294.5,,,,120275277.3,43832010.33,56007002.47,,,,,,,,,,,254656160.5,,2265111813,,,,7040400,,19082866.1,3425368913,,,,,,,,,,,66211360.08,28660000,,,,,,,,130800469.4,347900313.2,3340804.49,,,8795318.84,,,103286948.9,,,,,98489372.61,7162347.82,2639861.4,,28359949.55,825646746.3,,4251015660,7010000,,,,,,,,,,86706307.79,146212668.4,223187644.4,,,,9749936.08,26057457.67,,5413335.1,,,,,,,,,164241583,,,,,,,,,663165597.3,,,,,3226941.53,,,3226941.53,,,4850415.48,,2912000,10989357.01,,674154954.3,1931780892,,,,,1419669266,,33035032.64,,-173853972.7,,,,,,3210631218,366229487.7,3576860705,4251015660
000592,平潭发展,2020-01-01,B,1,2021-04-30,164122524.4,,,,,,,,280337779.5,,,,57765158.81,,51818989.22,,,,,,,,,,7165970.5,1498681319,,,,,,,,,2052725771,,,,,,,,,,,1263607356,13000000,,,,,,,,130800469.4,15252399.79,15122.64,,,,,,110713.32,,,,,,376404.56,,,,1423162466,,3475888237,2010000,,,,,,,,,,,197105.55,408957.54,,,,3204087.03,15049427.51,,,,,,,,,,,194661559.8,,,,,,,,,215531137.4,,,,,,,,,,,750000,,,750000,,216281137.4,1931780892,,,,,1420782425,,33035032.64,,-125991250.7,,,,,,,,3259607099,3475888237
000592,平潭发展,2020-03-31,A,0,,292929506.3,,,,,,,,175816230.9,,,,130744164,34177751.85,167391321.1,,,,,,,,,,,364151356.4,,2344526304,,,,7040400,,19510050.88,3536287086,,,,,,,,,,,65734694.81,28660000,,,,,,,,129681747.4,336920431.8,3972289.58,,,8531622.39,,,102614941.4,,,,,98489372.61,6663935.37,2643799.25,,34814712.48,818727547.1,,4355014633,5000000,,,,,,,,,,164162697.3,145727132.5,,277193752.1,,,3703851.39,27161619.62,,5413335.1,,,,,,,,,147915666.7,,,,,,,,,770864719.6,,,,,3232773.53,,,3232773.53,,,4746557.13,,2912000,10891330.66,,781756050.2,1931780892,,,,,1419669266,,33035032.64,,-177759872,,,,,,3206725318,366533264.1,3573258583,4355014633
000592,平潭发展,2020-03-31,B,0,,183293739.1,,,,,,,,172809755.6,,,,67540493.44,,57172631.31,,,,,,,,,,7165970.5,1604579880,,,,,,,,,2085396499,,,,,,,,,,,1263535691,13000000,,,,,,,,129681747.4,14852278.93,15122.64,,,,,,82955.41,,,,,,297363.55,,,,1421465159,,3506861658,,,,,,,,,,,56197800,165830.7,,410127.5,,,171926.57,15410246.8,,,,,,,,,,,171620835.3,,,,,,,,,243976766.9,,,,,,,,,,,750000,,,750000,,244726766.9,1931780892,,,,,1420782425,,33035032.64,,-123463458.8,,,,,,,,3262134891,3506861658
000592,平潭发展,2020-06-30,A,0,,647060095.2,,,,,,,,151827255.9,,,,175744748.5,35770405.31,205377051,,,,,,,,,,,278685386.5,,2420140489,,,,7040400,,14681413.73,3936327245,,,,,,,,,,,64824396.66,28660000,,,,,,,,128563025.4,326193819.5,8586059.26,,,8267925.94,,,101973795.9,,,,,98489372.61,5834356.83,9060120.75,,48766379.03,829219252,,4765546497,1000000,,,,,,,,,,524635373.7,64692927.24,,400185872.1,,,4647690.35,20718534.81,,5413335.1,,,,,,,,,167286790.2,,,,,,,,,1183167188,,,,,3281973.53,,,3281973.53,,,4640826.21,,2730000,10652799.74,,1193819988,1931780892,,,,,1419669266,,33035032.64,,-171467647.7,,,,,,3213017543,358708966.7,3571726509,4765546497
000592,平潭发展,2020-06-30,B,0,,507940799.7,,,,,,,,151827255.9,,,,89484127.01,,198048284.2,,,,,,,,,,7165970.5,1576587544,,,,,,,,,2523888011,,,,,,,,,,,1263568805,13000000,,,,,,,,128563025.4,14446456.8,15122.64,,,,,,93094.75,,,,,,329443.97,,,,1420015949,,3943903960,,,,,,,,,,,417597794.5,29307.4,,396897.5,,,169301.81,16915881.67,,,,,,,,,,,225313167.8,,,,,,,,,660422350.7,,,,,,,,,,,750000,,,750000,,661172350.7,1931780892,,,,,1420782425,,33035032.64,,-102866740.7,,,,,,,,3282731609,3943903960
000592,平潭发展,2020-09-30,A,0,,572977249.2,,,,,,,,205639931.5,,,,178800131.4,151653339.3,246828207.3,,,,,,,,,,,388493597.3,,2448114638,,,,7040400,,12679002.18,4212226496,,,,,,,,,,,65157175.47,28660000,,,,,,,,127444303.5,317601085.8,9462604.17,,,7735956.59,,,101319519.5,,,74324.88,,98489372.61,5486096.83,9066841.65,,62683230.6,833180511.6,,5045407008,1000000,,,,,,,,,,625100978,60776578.17,,566024267.6,,,6136047.62,19653959.09,,5413335.1,,,,,,,,,155501112.4,,,,,,,,,1434192943,,,,,3259393.53,,,3259393.53,,,4536031.57,,2730000,10525425.1,,1444718368,1931780892,,,,,1419669266,,33035032.64,,-142839179.8,,,,,,3241646011,359042629.2,3600688640,5045407008
000592,平潭发展,2020-09-30,B,0,,431897997.6,,,,,,,,205639931.5,,,,87293145.82,108129738,200392644.8,,,,,,,,,,7165970.5,1654691624,,,,,,,,,2688045081,,,,,,,,,,,1263529084,13000000,,,,,,,,127444303.5,14045688.29,15122.64,,,,,,74815.37,,,,,,239616.22,,,,1418348630,,4106393711,,,,,,,,,,,477468794.5,2500,,91141093.6,,,125460.87,16370049.64,,,,,,,,,,,235475101.2,,,,,,,,,820582999.8,,,,,,,,,,,750000,,,750000,,821332999.8,1931780892,,,,,1420782425,,33035032.64,,-100537638.2,,,,,,,,3285060712,4106393711
000592,平潭发展,2020-12-31,A,1,2021-04-30,686290703.2,,,,,,,,145067164.4,,,,245611307.9,176206984.7,104028816.5,,,,,,,,,,318500,387978740.9,,2362217225,,,,,,55581652.44,4162982595,,,,,,,,,,,65502262.83,28660000,,,,,,,,126325581.5,323618602.3,5752297.5,,,7472994.34,,,101082696,,,,,50463980.27,10367042.88,17907768.63,,35553594.07,772706820.3,,4935689416,,,,,,,,,,,456892958.5,175650175.3,33426.7,719091284.4,,,12722009.24,35172901.22,,7413335.1,,,,,,,,,135165147.7,,,,,,24336690,87944935.52,,1647009529,,,,,3226941.53,,,3226941.53,,,4438453.68,,2548000,10213395.21,,1657222924,1931780892,,,,,1419669266,,33035032.64,,-399788155.9,,,,,,2984697035,293769457.4,3278466492,4935689416
000592,平潭发展,2020-12-31,B,0,,361144845.1,,,,,,,,145067164.4,,,,182356323.8,108129738,92429704.49,,,,,,,,,,14331941,1710132573,,8057049.7,,,,,,87429.05,2607404827,,,,,,,,,,,1219553061,13000000,,,,,,,,126325581.5,13773843.38,15122.64,,,,,,473988.8,,,,,,184027.2,,,195000,1373520624,,3980925452,,,,,,,,,,,315579579,17234104.26,,62608215.66,,,3202218.45,32585846.53,,,,,,,,,,,240985125.4,,,,,,,30010223.06,,702205312.4,,,,,,,,,,,750000,,,750000,,702955312.4,1931780892,,,,,1420782425,,33035032.64,,-107628210.6,,,,,,,,3277970139,3980925452
