Stkcd,ShortName,Accper,Typrep,IfCorrect,DeclareDate,B001100000,B001101000,Bbd1102000,Bbd1102101,Bbd1102203,B0i1103000,B0i1103101,B0i1103111,B0i1103203,B0i1103303,B0d1104000,B0d1104101,B0d1104201,B0d1104301,B0d1104401,B0d1104501,B0f1105000,B001200000,B001201000,B0i1202000,B0i1203000,B0i1203101,B0i1203203,B0i1204000,B0i1204101,B0i1204203,B0i1205000,B0i1206000,B001207000,B0f1208000,B0i1208103,B0I1214000,B001209000,B001210000,B001216000,B001211000,B001211101,B001211203,B001305000,B001302000,B001302101,B001302201,B001303000,B001306000,B001301000,B001212000,B001307000,B001308000,B0f1213000,B001304000,B001300000,B001400000,B001400101,B001500000,B001500101,B001500201,B001000000,B002100000,B002200000,B002300000,B002000000,B002000401,B002000501,B002000101,B002000301,B002000201,B003000000,B004000000,B005000000,B005000101,B005000102,B006000000,B006000101,B006000103,B006000102
000592,平潭发展,2020-01-01,B,0,,197958171.5,197958171.5,,,,,,,,,,,,,,,,201963669.6,175957740.4,,,,,,,,,,2367790.18,,,,5045897.03,25121182.82,,-6528940.79,8337717.68,14986722.65,77368.87,32862885.64,1120355.21,,,,337779.45,-4843799.84,-5196184.51,12486.65,,,19245038.12,4333596.62,,10923.63,,,23567711.11,6710959.21,,,16856751.9,,,,,,,,,,,16856751.9,,,
000592,平潭发展,2020-01-01,A,0,,966397216.6,966397216.6,,,,,,,,,,,,,,,,990196367.7,856425420.7,,,,,,,,,,8376039.33,,,,38196902.16,74847578.94,989471.53,11360955.02,11551088.09,5998975.2,22632487.5,41921514.36,2173755.33,,,,382294.52,-13316615.97,-10204347.68,-3125734.16,,,14490447.51,11284895.48,,2238287.55,,,23537055.44,5468745.78,,,18068309.66,,,24633691.64,,-6565381.98,0.0128,0.0128,,,,18068309.66,24633691.64,,-6565381.98
000592,平潭发展,2020-03-31,A,0,,126608331.1,126608331.1,,,,,,,,,,,,,,,,135410996.6,110499693.1,,,,,,,,,,1349386.01,,,,4448215.33,16534709.15,939754.65,1639238.36,113692.01,414351.78,2585426.63,2899631.04,-71665.27,,,,1342976.12,-137148.34,-2528723.81,-3716.63,,,-4644220.46,181909.45,,213710.6,,,-4676021.61,247525.12,,,-4923546.73,,,-3905899.32,,-1017647.41,-0.002,-0.002,,,,-4923546.73,-3905899.32,,-1017647.41
000592,平潭发展,2020-03-31,B,0,,27121281.05,27121281.05,,,,,,,,,,,,,,,,27346198.78,22282875.89,,,,,,,,,,409036.4,,,,167022.39,3328533.22,,1158730.88,4270.83,276470.57,117474.98,1457662.75,-71665.27,,,,1342976.12,,161317.08,,,,2854513.2,28600,,,,,2883113.2,355321.32,,,2527791.88,,,,,,,,,,,2527791.88,,,
000592,平潭发展,2020-06-30,B,0,,81956371.8,81956371.8,,,,,,,,,,,,,,,,45272189.34,68041374.5,,,,,,,,,,1129367.24,,,,827228.06,6936083.57,,-31661864.03,4270.83,35728994.04,261399.04,3941972.56,-38550.69,,,,698255.88,,-9221774.38,,,,32364035.56,1331541.77,,3201.95,,,33692375.38,10567865.36,,,23124510.02,,,,,,,,,,,23124510.02,,,
000592,平潭发展,2020-06-30,A,0,,377272559.4,377272559.4,,,,,,,,,,,,,,,,381910614,327351611.2,,,,,,,,,,3509018.25,,,,21450067.45,31004154.41,2901466.51,-4305703.74,597537.46,10686122.54,5412157.23,3072935.28,-106476.47,,,,698255.88,-1173775.7,-3505500.61,,,,-133982.6,2038309.51,,2411841.3,,,-507514.39,4892905.45,,,-5400419.84,,,2386324.95,,-7786744.79,0.0012,0.0012,,,,-5400419.84,2386324.95,,-7786744.79
000592,平潭发展,2020-09-30,B,0,,211739442.5,211739442.5,,,,,,,,,,,,,,,,171976079.1,185927932.5,,,,,,,,,,1528300.04,,,,5646469.77,10812385.94,,-31939009.15,4270.83,36740660.16,378989.17,5192055.6,-78271.88,,,,639931.51,,-10178694.73,,,,35795644.91,1372341.77,,3201.95,,,37164784.73,11711172.19,,,25453612.54,,,,,,,,,,,25453612.54,,,
000592,平潭发展,2020-09-30,A,0,,747906241,747906241,,,,,,,,,,,,,,,,733600793.1,642683487.2,,,,,,,,,,6083927.99,,,,38463271.39,46563280.01,4303971.2,-4497144.72,652577.74,11849549.79,12302288.28,6404796.52,1854563.81,,,,639931.51,-1163840.5,-3531846.7,17965.88,,,28974742.93,2385624.59,,3263728.88,,,28096638.64,4534928.12,,,23561710.52,,,31014792.83,,-7453082.31,0.0161,0.0161,,,,23561710.52,31014792.83,,-7453082.31
000592,平潭发展,2020-12-31,B,0,,450978657.4,450978657.4,,,,,,,,,,,,,,,,364633205.1,415856360.2,,,,,,,,,,3034308.36,,,,1055550.73,18240205.18,,-73553219.29,4270.83,78375705.96,378989.17,13433227.07,-215095.23,,,,67164.38,-48939200,-10555031,,,,40730601.88,1406354.33,,3922.52,,,42133033.69,23769993.62,,,18363040.07,,,,,,,,,,,18363040.07,,,
000592,平潭发展,2020-12-31,A,1,2021-04-30,1234263309,1234263309,,,,,,,,,,,,,,,,1222923719,1100244032,,,,,,,,,,8989090.84,,,,50036086.79,67645012.46,5091523.86,-9082026.21,750450.91,18491549,24639301.73,8081048.69,327389.7,,,,67164.38,-304518051.9,-9360148.22,18548.4,,,-269732547.3,4898861.59,,28128307.54,,,-292961993.3,7620564.53,,,-300582557.8,,,-225934183.2,,-74648374.59,-0.117,-0.117,,,,-300582557.8,-225934183.2,,-74648374.59
000592,平潭发展,2021-01-01,B,0,,450978657.4,450978657.4,,,,,,,,,,,,,,,,364633205.1,415856360.2,,,,,,,,,,3034308.36,,,,1055550.73,18240205.18,,-73553219.29,4270.83,78375705.96,378989.17,13433227.07,-215095.23,,,,67164.38,-48939200,-10555031,,,,40730601.88,1406354.33,,3922.52,,,42133033.69,23769993.62,,,18363040.07,,,,,,,,,,,18363040.07,,,
000592,平潭发展,2021-01-01,A,0,,1234263309,1234263309,,,,,,,,,,,,,,,,1222923719,1100244032,,,,,,,,,,8989090.84,,,,50036086.79,67645012.46,5091523.86,-9082026.21,750450.91,18491549,24639301.73,8081048.69,327389.7,,,,67164.38,-304518051.9,-9360148.22,18548.4,,,-269732547.3,4898861.59,,28128307.54,,,-292961993.3,7620564.53,,,-300582557.8,,,-225934183.2,,-74648374.59,-0.117,-0.117,,,,-300582557.8,-225934183.2,,-74648374.59
000592,平潭发展,2021-03-31,B,0,,92801514.54,92801514.54,,,,,,,,,,,,,,,,87036062.68,88300885.83,,,,,,,,,,871953.2,,,,849260.29,4012536.39,,-6998573.03,,7038125.81,19096.97,422206.52,-29483.32,,,,84575.34,,8717508.98,,,,15008839.67,4447085.68,,33922.1,,,19422003.25,2662350.56,,,16759652.69,,,,,,,,,,,16759652.69,,,
