course_code,course_name,nine_id,assessment_method
C01,管理学B,2.1,平时成绩
C01,管理学B,4.1,期末成绩
C02,基础会计学,1.3,课堂讨论
C02,基础会计学,2.1,作业+期中+案例
C02,基础会计学,4.1,期末成绩
C03,公司理财,2.1,作业
C03,公司理财,2.2,课堂讨论+期末考试
C03,公司理财,4.1,期中考试
C04,应用统计分析与R语言,3.2,期末考试
C04,应用统计分析与R语言,4.1,随堂测试+课堂讨论
C04,应用统计分析与R语言,5.1,案例分析
C04,应用统计分析与R语言,5.2,课后作业
C05,信息系统,2.1,期末成绩
C05,信息系统,5.3,平时成绩
C06,财务管理专业导论,1.2,课堂表现
C06,财务管理专业导论,1.3,学习心得报告
C06,财务管理专业导论,9.1,职业生涯规划
C07,信息检索,5.3,期末成绩
C07,信息检索,8.2,平时成绩
C08,中级财务会计,1.3,课堂表现
C08,中级财务会计,2.2,平时作业+期末考试
C08,中级财务会计,2.3,期中考试
C08,中级财务会计,3.1,案例分析
C08,中级财务会计,4.2,课内测试
C09,中高级财务管理,1.2,随堂测试
C09,中高级财务管理,2.2,课堂表现+期中考试
C09,中高级财务管理,2.3,期末考试
C09,中高级财务管理,3.1,线下作业
C09,中高级财务管理,4.2,线上作业
C10,创业型中小企业投融资管理,2.3,课堂表现+作业
C10,创业型中小企业投融资管理,3.3,案例分析报告
C10,创业型中小企业投融资管理,7.2,小组案例汇报
C11,审计学A,1.3,课堂讨论
C11,审计学A,2.2,课堂测试+期末考试
C11,审计学A,3.1,平时作业
C11,审计学A,4.1,案例分析报告
C11,审计学A,8.1,期中考试
C12,财务报表分析A,2.2,期末案例报告
C12,财务报表分析A,2.3,案例讨论
C12,财务报表分析A,3.2,个人课程总结报告
C12,财务报表分析A,4.2,课堂表现+课内测试
C13,管理会计,2.2,期末考试
C13,管理会计,3.1,案例分析
C13,管理会计,3.3,期中考试
C13,管理会计,4.1,课堂讨论
C13,管理会计,4.2,平时作业+课程测试
C14,财务估值与投资,2.2,课堂讨论+案例分析
C14,财务估值与投资,3.3,课堂测试+期中测试+期末测试
C14,财务估值与投资,8.2,课后作业
C15,项目评价与投资,3.3,慕课+期中测试
C15,项目评价与投资,4.1,期末考试
C15,项目评价与投资,7.1,课堂表现
C16,研究方法与论文写作,3.2,研究设计报告
C16,研究方法与论文写作,4.2,课堂表现+数据分析
C16,研究方法与论文写作,5.2,文献检索
C16,研究方法与论文写作,8.2,文献综述
C17,商业伦理与会计职业道德,1.3,课程案例报告+课后作业
C17,商业伦理与会计职业道德,9.2,课堂表现
C18,会计综合课程设计与劳动实践,1.2,课堂讨论+课内测试
C18,会计综合课程设计与劳动实践,4.3,综合实训
C18,会计综合课程设计与劳动实践,6.1,汇报总结
C19,专业认识实习,6.2,实习单位鉴定
C19,专业认识实习,7.1,实习日志
C19,专业认识实习,9.2,实习报告
C20,上市公司财务与会计综合案例,3.3,案例分析报告
C20,上市公司财务与会计综合案例,6.1,课堂讨论
C20,上市公司财务与会计综合案例,7.2,小组答辩
C21,财务综合课程设计,1.2,课堂研讨
C21,财务综合课程设计,4.3,课堂作业+虚拟仿真
C21,财务综合课程设计,6.2,案例分析报告
C21,财务综合课程设计,7.1,小组答辩
C22,内部控制与审计课程设计(改大纲),4.3,课程设计总结
C22,内部控制与审计课程设计(改大纲),6.2,审计计划外的审计工作底稿
C22,内部控制与审计课程设计(改大纲),7.2,课程设计总结
C23,毕业实习,1.3,实习单位鉴定
C23,毕业实习,4.1,实习报告
C23,毕业实习,5.1,实习日志
C24,毕业设计,1.2,毕业论文初稿+中期检查总体评价
C24,毕业设计,3.2,开题报告
C24,毕业设计,4.1,论文答辩
C24,毕业设计,4.3,毕业论文终稿
C24,毕业设计,5.2,文献综述
C24,毕业设计,6.1,外文文献翻译
