Stkcd,ShortName,Accper,Typrep,IfCorrect,DeclareDate,C001001000,C0b1002000,C0F1023000,C0b1003000,C0b1004000,C0i1005000,C0i1006000,C0i1007000,C0d1008000,C0f1009000,C0d1010000,C0d1011000,C0F1024000,C0F1025000,C001012000,C001013000,C001100000,C001014000,C0b1015000,C0F1026000,C0b1016000,C0i1017000,C0f1018000,C0F1027000,C0F1028000,C0F1029000,C0F1030000,C0F1031000,C0F1032000,C0i1019000,C001020000,C001021000,C001022000,C001200000,C001000000,C002001000,C002002000,C002003000,C002004000,C002005000,C002100000,C002006000,C002007000,C0i2008000,C002009000,C002010000,C002200000,C002000000,C003008000,C003001000,C003001101,C003003000,C003002000,C003004000,C003100000,C003005000,C003006000,C003006101,C003007000,C003200000,C003000000,C004000000,C007000000,C005000000,C005001000,C006000000
000592,平潭发展,2020-01-01,A,0,,1128320038,,,,,,,,,501035,,,,,10259150.98,212385343.8,1351465567,763423860.6,,,,,,,,,,,,,94439590.52,63601422.86,76989391.23,998454265.2,353011302.1,2847261377,24369957.05,3116525.04,33769923.59,,2908517783,33057161.17,2713600000,,117734659.9,80000000,2944391821,-35874038.13,,,,,390500000,73315820.84,463815820.8,877990000,14991824.68,2834029.5,35955820.84,928937645.5,-465121824.7,,,-147984560.8,433002606.6,285018045.9
000592,平潭发展,2020-01-01,B,0,,190116628.2,,,,,,,,,,,,,,,239247702.4,429364330.6,148893709.9,,,,,,,,,,,,,15646348.47,16527815.83,108299207.5,289367081.7,139997248.9,2793695000,12377153.53,20000,,,2806092154,1568941.23,2753730750,,,80000000,2835299691,-29207537.7,,,,,366000000,33000000,399000000,753990000,8337717.68,,,762327717.7,-363327717.7,,,-252538006.5,336660530.9,84122524.39
000592,平潭发展,2020-03-31,A,0,,162479269.8,,,,,,,,,,,,,,228118.05,36250531.89,198957919.7,236613382.8,,,,,,,,,,,,,30630901.64,6567643.7,120001835.1,393813763.2,-194855843.5,263900000,2130736.29,33000,,80000000,346063736.3,8142632.35,133136000,,,,141278632.4,204785103.9,,,,,,,,2010000,72994.79,,,2082994.79,-2082994.79,2151.43,,7848417.06,285018045.9,292866462.9
000592,平潭发展,2020-03-31,B,0,,15285578.32,,,,,,,,,,,,,,,15534654.09,30820232.41,20436287.86,,,,,,,,,,,,,5470594.24,2094757.42,113025822.1,141027461.6,-110207229.2,250000000,1621087.7,,,90411500,342032587.7,503872.9,130136000,,,,130639872.9,211392714.8,,,,,,,,2010000,4270.83,,,2014270.83,-2014270.83,,,99171214.74,84122524.39,183293739.1
000592,平潭发展,2020-06-30,A,0,,485700950.9,,,,,,,,,,,,,,1085187.14,373435651.2,860221789.2,525346769.3,,,,,,,,,,,,,50587659.65,38820194.27,339805197,954559820.2,-94338031.03,424900000,5991241.51,33000,120038130.3,90183223.29,641145595.1,11412753.98,301136000,,,,312548754,328596841.1,,,,,1000000,,1000000,8010000,1150397.91,1055200,,9160397.91,-8160397.91,19629.19,,226118041.3,285018045.9,511136087.2
000592,平潭发展,2020-06-30,B,0,,50461207.57,,,,,,,,,,,,,,,284278324.8,334739532.3,109337572.9,,,,,,,,,,,,,7946951.54,13742191.97,196243901.8,327270618.2,7468914.12,473514745.2,4577400.87,,,100594723.3,578686869.3,1048202,295136000,,,,296184202,282502667.3,,,,,,,,2010000,4270.83,,,2014270.83,-2014270.83,,,287957310.6,84122524.39,372079835
000592,平潭发展,2020-09-30,A,0,,894435464,,,,,,,,,,,,,,4026595.9,558152662.1,1456614722,850954958,,,,,,,,,,,,,72092205.05,53204207.71,670932230.6,1647183601,-190568879.4,694029000,9054512.18,33000,120038130.3,90183223.29,913337865.7,19529106.92,636136000,,,,655665106.9,257672758.8,,,,,1000000,,1000000,8010000,1164293.74,,,9174293.74,-8174293.74,-854.01,,58928731.65,285018045.9,343946777.5
000592,平潭发展,2020-09-30,B,0,,177128851.5,,,,,,,,,,,,,,,451977732.5,629106584,239766292.5,,,,,,,,,,,,,10409551.13,15845492.14,455006973.2,721028309,-91921724.99,739643745.2,5944593.34,,,100594723.3,846183061.8,1229495.1,627136000,,,,628365495.1,217817566.7,,,,,,,,2010000,4270.83,,,2014270.83,-2014270.83,,,123881570.9,84122524.39,208004095.3
000592,平潭发展,2020-12-31,A,0,,1550620139,,,,,,,,,,,,,,10598595.33,824601242.6,2385819977,1213745289,,,,,,,,,,,,,96910414.98,76182726.04,1102700432,2489538862,-103718885.3,1002029000,10343098.73,33100,120038130.3,90183223.29,1222626552,27138629.02,900326000,,,,927464629,295161923.3,4900000,4900000,4900000,,1000000,200000,6100000,8010000,2144144.52,2028102.86,1000000,11154144.52,-5054144.52,-896.43,,186387997,285018045.9,471406042.8
000592,平潭发展,2020-12-31,B,0,,333210183.8,,,,,,,,,,,,,,,772437940.1,1105648124,362415926.2,,,,,,,,,,,,,13019278.53,17111543,901556990.8,1294103739,-188455614.6,1044643745,7229339.13,100,,100594723.3,1152467908,1485566.9,893236000,,,,894721566.9,257746340.7,,,,,,,,2010000,4270.83,,,2014270.83,-2014270.83,,,67276455.23,84122524.39,151398979.6
